reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,replyAt,appVersion
4c2dcf3e-ef07-4d3d-bbed-42f783867817,Sahil Bhagat,https://play-lh.googleusercontent.com/a-/ALV-UjWD0hec-U-m3t5yyr_ltDbYdtcuHSYHTMnFDI7M7sbWMxgs6CMZcg,smv♥️,1,0,,2025-09-08 12:38:15,,,
9f194ccc-48ad-4b0c-85a5-41dc09fceb52,Javid Bashirzade,https://play-lh.googleusercontent.com/a-/ALV-UjVqEFUNpSkZMUqX_yACPcCNNKSBygE4sB_j61T1RY-7izanhQTO,"У меня samsung z flip 5. Последнюю неделю спотифай постоянно виснет, а когда я его закрываю, музыка продолжает играть. Мне прихожится перезагружать телефон!!! Апдейт: отменил подписку т.к проблема уже длится больше месяца и никак не решается.",1,0,9.0.76.1126,2025-09-08 12:29:42,"Здравствуйте. Нам очень жаль это слышать. Вы пробовали быстро переустановить систему? Если это не поможет, рекомендуем обратиться в нашу службу поддержки клиентов на сайте support.spotify.com. Просто введите в поиске «Связаться с нами», и наши коллеги будут рады вам помочь.",,9.0.76.1126
15ad5484-1304-4845-b32c-703668e33a87,Namo Narayan,https://play-lh.googleusercontent.com/a-/ALV-UjUoiL5mQLFGFidtUrencQkWfINp9wvJyi77eDqEfHkxEep-R80,Third class app only ad app not a music app worst ever 😒,1,0,9.0.74.1121,2025-09-08 12:25:29,,,9.0.74.1121
26bf2b7b-67b9-4e3a-ac45-43af8b12acdf,Jasvinder Singh,https://play-lh.googleusercontent.com/a-/ALV-UjUrkiPXG_NCWrlXWcGxovGUupd8VKdgoPYlSPz8vx1o4liDwqU,sidhu ke song delete kiye hai isiliye mai Spotify ko bhi uninstall krta hu 🙏,1,0,9.0.76.1126,2025-09-08 12:23:48,,,9.0.76.1126
bd9d7104-239e-4539-94d0-5dfcbaefe2f3,The Helena,https://play-lh.googleusercontent.com/a/ACg8ocLrlcXDTqcuzJb_QwRuOXLtO1ypvPqsRPSov7-S-gZPYlK42A=mo,"I subscribed to the premium plan, and one day I wanted to read the lyrics, but it said, 'You've hit your lyrics limit for this month.' Like, seriously? I haven't even seen any lyrics since I subscribed to premium.",1,0,9.0.76.1126,2025-09-08 12:13:58,"Hey there! We'd love to get some more info about this. If you have the time, give our Customer Service a shout. You can find them by heading to support.spotify.com and searching ""Contact us"".",,9.0.76.1126
89e6e13a-8178-439f-81a5-ee6d40af773c,Tieho Mafatlane,https://play-lh.googleusercontent.com/a/ACg8ocJfz6rODDkVdFbW6KzE9oCjpTLUZ84u9iQIL-aPRNG0YIVFXA=mo,worst experience!,1,0,9.0.72.967,2025-09-08 12:12:41,,,9.0.72.967
d5ac7b8e-1ac3-4415-bf4d-f5033d056a69,Andrew Gunawan,https://play-lh.googleusercontent.com/a/ACg8ocL7U6nrQVDdesFOjP6E2qqEnNsQ0algSWAWOnhV0pmnLCEsiA=mo,worst update of all time,1,0,9.0.76.1126,2025-09-08 12:00:53,,,9.0.76.1126
02888364-2fe0-4901-bd4f-8443b5771f87,Nurul Ansari,https://play-lh.googleusercontent.com/a/ACg8ocKlmqAOuQG8egDIcbJw2iQVodpgDzQn4nNLBAuP55OIRxk-ew=mo,worst experience only ads straight for 5 minutes,1,0,8.6.68.1225,2025-09-08 11:53:03,"Hey! We hear you and we'll pass your feedback along to the Ads team. For an ad-free experience, we'd recommend checking out our Premium plans at spotify.com/premium. If you've never had Premium before, you should be eligible for our trial.",,8.6.68.1225
91c269b6-1c63-4507-b869-107a65554237,Levi,https://play-lh.googleusercontent.com/a-/ALV-UjXAAMS11ZCpYjOA0-kMpIXOed-xossENWTLJpR1vs7SX6q_BeE,"hey so I just wrote a one star because I can NOT get back into my account. yeah, I love Spotify but the thing is, I'm trying to get into my old account and when I go into the log in screen I type my username and it says ""no one with this username"" which is a LIE since I looked up my username on my new account and it's still there! I don't know what happened but I just suddenly got logged out. it actually made me cry when I couldn't log in, please fix this problem. T_T",1,0,,2025-09-08 11:41:29,"Hi. We’d recommend checking out our Support Site at support.spotify.com. Just search for “Can’t Remember Login Details” for the next steps. If you need more help, we'd recommend reaching out to our Customer Service at support.spotify.com. Just search “Contact Us”.",,
3b74ae07-8eb4-4505-982e-9c77cadf93d5,Manimegalai,https://play-lh.googleusercontent.com/a-/ALV-UjVsfQVz3AjkWW-iujG8gvO3mQvvU4cW5TEU5AtkTig2CDZ6YWh3,"used to be one of the best music apps. now one of the worst, they're just giving 30 mins to listen to songs for the people who doesn't have premium. it's like they're forcing us to pay for premium.",1,0,9.0.74.1121,2025-09-08 11:33:25,,,9.0.74.1121
7a3b570c-f2e7-438f-ad01-20b5ad4b0e3d,Halo Yume,https://play-lh.googleusercontent.com/a-/ALV-UjWrcDmijULgu2pB34cC9AV7VWtVS13yVSHZSj6Y_-8JIDkpH5Y,"The ads are getting out of hand, it plays 2 songs then you get 4 ads. After that, it says enjoy the 30 minutes of ad-free music. One song later there are 3 more ads.",1,0,9.0.76.1126,2025-09-08 11:27:29,,,9.0.76.1126
464be064-7ed3-4396-a15a-fae3faa565ea,Sukh Sandhu,https://play-lh.googleusercontent.com/a/ACg8ocI96Jl_Cp-AfdMySHi12g5QJRUfqVLzsapqo9hK-zpjn0cFHw=mo,bad,1,0,,2025-09-08 11:23:26,,,
e64e5670-fa22-4705-a272-296b9d6c8ef3,Netra Sorathiya,https://play-lh.googleusercontent.com/a/ACg8ocKaVaD2XQIT8groTqKBBe9MuAcBw_1UvGMFVO-UTvdsxz9jbA=mo,this app asks for premium even for turning off shuffle.,1,0,9.0.72.967,2025-09-08 11:20:14,"Hi! We'd recommend checking out http://support.spotify.com and search for ""Shuffle play"". If you’re on our free service, you can only shuffle music on certain Spotify playlists such as those Made For You. For full control, we recommend checking out our Premium plans. If you've never had Premium before, you should be eligible for our trial.",,9.0.72.967
fce9b4c5-caa8-4361-b088-d3113ee0c83d,Iliyana Arafa,https://play-lh.googleusercontent.com/a-/ALV-UjUaqYZMe_1lI0OYwt9UvJJaOId_d4yyVFkDt--BTc5sLvSjw0A,"Despite the money I pay for a subscription, they still force me to listen to adds. Avoid!",1,0,,2025-09-08 11:06:38,"Hi. We'd love to get some more info about this. If you have the time, give our Customer Service a shout. You can find them by heading to support.spotify.com and searching ""Contact us"".",,
16128eb2-3c1a-4954-90c1-acd86c1465f5,Pravallika Akula,https://play-lh.googleusercontent.com/a-/ALV-UjVDdXPFBqr1AzBMLGzLT0TMkvHkE-ROfISPj0VDP6sP6IJgUAMq,"Spotify is my best music player to vibe myself but now, asking premium to play the selected songs as I want makes no sense in it.",1,0,,2025-09-08 11:01:34,,,
4b89d7ca-ebb9-4c4f-b836-6b5edd61c47f,Dhruvil chaudhari (DC),https://play-lh.googleusercontent.com/a-/ALV-UjWs9yrRJDtmDye5f6tz-n3XG7M8j9p0by4f783YVelRpcNZhF8,I give it -69%review,1,0,9.0.76.1126,2025-09-08 11:00:25,,,9.0.76.1126
ad3c2308-dd33-42d8-8c34-06a2d2e151dd,Prashant Tiwari,https://play-lh.googleusercontent.com/a/ACg8ocKQ57lWNX6Bi0NGvPTV8SdjDRJp-efpp2OITJ5fH8rdnWBbeg=mo,too many ads,1,0,9.0.74.1121,2025-09-08 10:59:52,"Hi. We appreciate your feedback, and we'll pass it along to the Ads team. For an ad-free experience, we'd recommend looking into our Premium plans. If you've never had Premium before, you should be eligible for our trial. You can also check out other deals by heading over to spotify.com/premium.",,9.0.74.1121
1ee34bd9-c5a1-4b5d-9eaa-8a7e61b581eb,Evan Repschleger,https://play-lh.googleusercontent.com/a-/ALV-UjXmZgNVE3N7Qwx3eMufMQG-NXcYcStMpf7d_9qnkzcXAJSSOqSc5w,"please fix the download/offline experience, the app tries to load so much bloat at startup when I'm offline and downloads just delete themselves? also please end the popups or give us the option, I never care about them.",1,0,9.0.76.1126,2025-09-08 10:59:24,"Hello there! It seems that you're having issues with the app. We'd recommend checking our Community page for solutions at community.spotify.com. Just search for ""Why are my downloads disappearing every day?"".",,9.0.76.1126
